,adi,vpd_5_lag6,vpd_5_lag12,stoch_k_14_lag12,obv,stoch_d_21,cci_14,volume_z_24_lag1,stoch_k_14_lag3,roc_14_lag1,volume_z_12_lag6,rsi_vol,macd_vol_lag6,vpd_20_lag6,adx_vol,roc_10_lag2,volume_z_24,roc_10,roc_20,volume_roc_48_lag12,volume_roc_12_lag2,volume_lag3,stoch_k_14,rsi_vol_lag12,adx_vol_lag12,stoch_d_21_lag6,volume_z_48_lag6,stoch_d_7_lag12,stoch_k_7,cci_28_lag6,vpd_20_lag12,rsi_14_std_6,rsi_14_lag3,roc_14_lag12,macd_12_26_std_24,mfi_14_lag3,cci_14_lag6,rsi_14_ma_12,di_plus_14_lag3,volume_std_24
PC1,-0.007720265270335392,0.060346854191533905,0.04275241732433212,0.15075257243011297,0.005543816399812113,0.2639088156570671,0.1703733526648816,-0.007969843963969167,0.22917554072556348,0.2628926757231938,-0.006746518278244224,0.105036475840078,0.13397423536970937,0.06658474373918495,-0.01795656509301628,0.2334078643382061,-0.007371042518256085,0.21909134066109454,0.27275879272508885,0.0008435895416671558,-0.004879268340014735,-0.003719583462871317,0.19141489047837745,0.07512417266007963,0.010174216388068319,0.23885995736604765,-0.010334781661910318,0.13211260389800908,0.09251666106727197,0.24367280399957716,0.049392880962819685,-0.01120935585336232,0.2818219090922749,0.14368140955354378,0.004352505555907757,0.25335557126146896,0.21758945885300007,0.27798108124589943,0.2532328317183679,-0.007991860452475562
PC2,-0.1089541889037513,-0.048338619358399754,-0.1207615721218175,-0.18654915797840832,-0.0799197009223226,0.1099883847332431,0.21912745623685814,-0.054805806501535256,0.08220881988729657,0.04677968102924572,-0.013399924079024102,0.36462651135280044,-0.24281099168114947,-0.05055938568919345,0.3571849548038046,0.09609827334124886,-0.061665188727733855,0.17198747159166328,0.001492424010299686,0.10069942237556624,-0.017287314420008654,0.0990215371430626,0.2337811102690275,0.22134736522760476,0.3525407653326205,-0.1376631947719846,0.04030759102360795,-0.1524272305667663,0.24341534221041955,-0.1280753157547839,-0.13020510446404004,-0.025436091537582445,-0.04356245097111906,-0.21319357018033983,0.127781224987051,-0.05274836330681188,-0.06290599289603012,-0.11132454133913279,-0.0558482778635646,0.14811953720077803
PC3,-0.12206190192534644,-0.048505697513360785,0.06612480239337763,0.26190931628789854,-0.09087291047799213,-0.11454924734165627,-0.2561017698389474,7.531962451961265e-06,-0.10494437628273796,-0.07934842304860193,0.0076203999699639546,0.2626672601524599,0.09456775546279758,-0.06376711511667915,0.2960818858061787,-0.15891221064347,-0.00732951898653914,-0.21499639564290368,-0.013381322977780108,0.06224306266616304,0.013075963364692673,0.11096171362903717,-0.2540759062134491,0.3834135202929386,0.30312672597360196,0.1537079024230815,0.041862451170805115,0.22904994319701957,-0.2407361343084479,0.08956049888746494,0.062389880687306665,0.027750248974511317,0.005463934753365315,0.23005318509479494,0.10338906312963497,0.04422433294316754,0.015891829849000755,0.0910675908530851,0.04150415930126325,0.14112036470284658
PC4,0.35900981800900045,-0.04653540877791479,-0.07555129703379541,-0.03581034005287485,0.31039933813424414,-0.010359130212036802,-0.02691772101795761,0.30792085478863623,0.026035897332936566,-0.006195832364877227,0.29288219670482063,0.0068900492662835764,-0.056357459896377124,-0.04916133017961556,0.0875083954273075,0.027329655544141428,0.26606558414650244,0.0016039411693419784,-0.023184115553133124,0.02941643378108945,0.2365724000283377,0.2725189900573238,-0.024820215539438882,-0.12313951893389045,-0.0689548260498845,0.017729116820403342,0.3008970246325463,-0.038089059676069466,-0.045151211504951425,0.03276192058250801,-0.0846196771800318,0.3133738789826872,0.04183658481743748,-0.04707545307860187,0.25279386917043606,0.035430418610816916,0.04044137985029433,0.025144783582617236,0.11393192553823808,0.24759197927233878
PC5,0.45765882453311096,-0.09162506114479418,-0.03652608973790633,0.05258965339023627,0.4927070733792628,0.009340501058553358,-0.003060415297961085,-0.29246922940258635,-0.016655408745891036,-0.005318920385780419,-0.1716314219788412,-0.022135492093317676,0.005684803172860566,-0.10017149109268514,-0.028273968335046022,-0.02806910327996301,-0.2691136318919484,-0.0215814480633956,0.015885575154387176,0.08836316733872358,-0.1699629230343568,-0.10328064211693366,-0.005518295081420793,0.06274133743917032,0.06178119992369014,0.010336076966794536,-0.12350176656974057,0.052110215064450086,0.005541889128686381,-0.017330907657794832,-0.03891177161415892,-0.28386746616125286,-0.008895381764602528,0.04983565314389717,0.4171449455858818,-0.004463634184779916,-0.03326335977349486,0.008291303133921962,-0.007863032484980582,-0.03368088792893016
PC6,0.009668137065209892,0.36307555683539994,-0.33920869922727515,-0.15309309903931473,0.00021724388139577732,-0.101861738376028,-0.20136314225060709,-0.02907394535583915,0.04118245171713438,-0.0026538265028668447,-0.17336883513704376,-0.006370519242557739,-0.09849570820654291,0.37709944863383865,0.04538776432070739,0.1522447469951908,-0.021109961004189923,0.013553437848812841,-0.09152939683127669,0.06577278222282143,-0.04233417231323802,0.00689879351937405,-0.17715254805625918,-0.0337397607387229,0.07548543923890799,0.09537015303452996,-0.16103872198400587,-0.14869609315455423,-0.2965583151355681,0.1894222886148928,-0.3492432701520574,-0.011872237574957796,0.04599264808040534,-0.19014053007245496,0.014743670006358123,0.061727335579419715,0.2563755285502141,-0.0003487254810231429,0.05888744123972815,0.030104356082941902
PC7,0.12361519652193217,0.4348123962374388,0.4499950513878127,-0.11716487359869085,0.07797143238873046,-0.08229439430624358,0.011487551724564908,-0.025594043846641268,-0.08328746143467043,0.06710667946823161,-0.047103006505869315,0.06447605621328907,0.16166901081717475,0.42882020265355514,0.025043749267401393,0.02396666913177872,-0.03705227459927741,0.06278836080826646,0.03895170277752515,0.002718288254772351,0.006476926636467334,0.18093806652061917,0.012596051130311559,0.055021315917852885,0.046513398967133225,-0.1330563634425074,-0.03691192330223807,-0.11752724776315807,0.04646930333255106,-0.05680393252161719,0.44560014733254016,0.004401542953431922,-0.058371751941178274,0.011040224146152522,0.05919701752595263,-0.085984670266969,-0.043040996927804845,-0.056906059418467984,-0.00836797537928521,0.1880227224474963
PC8,-0.05832140742483255,0.043619654131373704,-0.029250216486328574,-0.03258108250287096,-0.12549008633851017,-0.03026231101860529,-0.048421176388339544,-0.3497302168918954,-0.004299467852101369,0.006062515226397787,0.49078272064059075,-0.07174223960014232,-0.005688940441228836,0.0476555910316218,-0.021582871491163017,0.03276967354910942,-0.3505488438691457,-0.002352477675201345,-0.019579895786413715,0.004250689266897772,-0.09454669918523978,0.13513547907885984,-0.04128505730186407,-0.08859671386343639,-0.06191954393087637,0.016232199242654562,0.5297623972965144,-0.03027405791409086,-0.06114416235267572,0.045213587531782014,-0.02884634614808696,-0.343347861370189,0.017411386747877018,-0.03682167176654736,-0.07394227622084858,0.02105109701142955,0.04634532859994828,0.014169203715289964,0.062133619397057284,0.13250162849174785
PC9,0.033829745222679564,-0.2922807957401121,0.11650601049889484,-0.1113482643093493,-0.1535473660310781,-7.234312612515526e-05,-0.049248350968709664,-0.10113284259425007,0.09599413849257458,0.02311810357430107,-0.29409622317793543,-0.121815454223593,-0.05600979667177581,-0.28403070829719473,-0.05800139093098879,0.06302926214318144,-0.105028184938125,-0.014367895392117979,-0.046950761873884195,-0.01089439641828151,-0.0715289964180642,0.4739578894896792,-0.03463569803123118,-0.13871822785959256,-0.06443949848827711,0.028314819140704665,-0.25599341465923764,-0.09954583239439499,-0.13141075233112248,0.057643959872518385,0.11460697239845452,-0.04348471652135054,0.05942343847036914,-0.10192016393911933,-0.12190640721239168,0.07173853590089027,0.09399330278196194,0.02097436151425086,0.07618208713248587,0.46927973429229203
PC10,-0.04466995366705567,-0.20602678637754507,0.3279537040790063,-0.26969612226289263,0.06946669515411082,-0.05042185263172345,-0.15125666102142388,0.033925150316483764,0.1592541647592649,0.07131468210024232,0.08350246002644884,0.06691606231225951,-0.10257566547090022,-0.19439030308926336,0.10482675512687166,0.15894390307296058,0.04495819659420107,0.004453249280773952,-0.09608627844627607,0.02594095167917301,-0.0018748206549883718,-0.32179407295674234,-0.09835939666225803,0.0056498452807975975,0.10428703487220248,0.03061232471901606,0.09485886871884135,-0.24995137886723243,-0.28580393025495243,0.1056590868543786,0.31791749340364384,0.004080345850203169,0.06606134599273009,-0.24638605041217973,0.07929090561391527,0.08574125548767808,0.20104233961832413,-0.020275728795980146,0.05937730918295867,-0.3031779674260627
