,volume_z_24,volume_z_48,volume_z_12,rsi_14,rsi_7,di_plus_14,cci_28,roc_10,di_plus_14_lag1,roc_14,cci_14,stoch_k_21,volume_z_12_lag1,rsi_7_lag2,di_minus_14_lag2,hour_cos,roc_10_lag1,hour_lag3,hour_lag6,rsi_14_lag3,hour_lag1,macd_vol,di_plus_14_lag2,roc_14_lag2,cci_20_lag3,di_plus_14_lag3,stoch_d_7,volume_roc_12_lag1,volume_roc_24,di_plus_14_lag6,rsi_14_lag6,di_minus_14_lag3,mfi_14_lag3,stoch_k_7_lag2,adx_vol_lag12,adi,volume_roc_12_lag2,roc_20_lag3,rsi_14_std_6,volume_z_12_lag2
PC11,0.0019465713785787302,0.0668725840088708,0.008635044798170437,-0.09398810973154538,-0.09054468573757529,0.07045357075993111,-0.09201140084550179,0.09765275326550275,0.11222401861420911,0.07093614917774557,-0.09567800623412827,-0.09934308544794443,-0.11179759953443222,0.053212860859457374,0.14922900872308031,-0.024479925445670653,0.14565873384799427,-0.016726160844683403,-0.026290410896451108,-0.027758989009792463,0.007505203025927528,-0.14391334708601594,0.13755924523302454,0.09156774384243953,0.005493418284290392,0.11696434821924333,-0.001595186231920032,-0.16287735983925938,-0.07662938624319365,0.0697817723757703,-0.062195679912458675,0.16914307213502702,-0.016321494692094356,0.09584427001804877,0.5760127414911098,0.6057980675650507,0.03530573153523548,-0.03876158312914381,0.12256147763545774,0.010217088762920941
PC12,-0.07124913372626705,-0.0619572708706469,-0.046958168907115926,0.012971678865126549,0.023866776435798088,-0.008182364447502827,0.018892912210155356,0.021526441029865867,0.009540140256865441,0.03462396932662405,0.021630551918356555,0.034751952822778875,0.3470941944461534,-0.03457975215523418,-0.03210223610346296,0.03226477353270874,0.005734880340776346,0.034192057464193376,0.011434191698562737,-0.015534262226006814,-7.683520579487923e-05,-0.04581083171911633,-0.06708139007280033,0.009176371515712491,-0.006234155413096547,-0.03418405492700948,-0.0397980099994124,0.6868373483592483,0.13855621725927128,0.019714593760292262,0.013629812739310175,-0.010433839350935586,0.020935160170188385,-0.0747258640940052,0.1769477142960073,0.20556290765020374,-0.42699140509544925,-0.004154134051869265,-0.12690548371502425,-0.28255969083988386
PC13,0.011767985574030334,-0.05714796806945578,0.09101248854979217,0.02940515729366716,0.07593261179425562,-0.20518908578708392,0.1306707680678217,0.007855537669593241,-0.26214677573185496,0.05735440426872029,0.05876842274509369,0.2120105731936465,0.1433564523528367,-0.05522544591378164,-0.06212901106148033,0.04015613080056277,-0.030621120815964627,0.08199475377918691,0.09289266133229167,0.09047287474141892,-0.004602666174399882,-0.2182481615135383,-0.21502234752656665,0.023798149230488695,0.3121639142181685,-0.1422300790717844,-0.17122602412018675,-0.17623269867108024,0.0922109830706045,-0.20181861544159907,0.02748309127988795,-0.1778265221833706,0.3377849562267718,-0.26008087447414185,0.06352867205588393,0.29341216907767437,0.10205382131490691,-0.002082249668117806,-0.2038819727614057,0.26553598378709503
PC14,0.15844437823516078,0.1473703310293223,0.12260265385248244,-0.0014111885358236655,0.00912020648714227,-0.029948313577685227,0.002429631633755634,0.0060342381720615585,-0.0689224559862979,0.02070362187249959,0.005999299978197032,0.044889663953547626,-0.30608654242122824,-0.011501490895350958,0.015110237250554133,0.04590691506747689,0.007957807319185158,-0.0710005413069983,0.0675999518359838,0.000501172041893792,-0.11734883040700575,-0.025762146066817093,-0.04249084962224571,0.032159819742424205,0.01932222754288044,-0.0075863059360492206,-0.010525318965985752,0.4002197181137499,-0.4249028806832911,0.02196202698035095,0.008122485216597702,0.024616071972644094,0.06452642480911175,-0.025023792413886057,0.039269959171463246,0.010201522895233406,0.5135308521231317,0.02249771967974341,-0.3637459429510796,-0.24779930105624204
PC15,-0.011696908229402817,0.035187765047072404,-0.09911105643535575,-0.07035424381013694,-0.018709817656155783,0.02402358133799386,0.017586988943331296,0.26729678694756054,0.006642160949558847,0.13654855276036149,-0.029967607313754033,-0.0613598466865976,-0.2501332078689061,-0.029299007860933975,0.03687371782480948,-0.03217484293874777,0.26769627833544146,-0.11905734116389012,-0.13571388121385336,0.011539117939860863,0.06995769605541308,-0.38376686710486646,0.01086067366912168,0.009920478511581711,0.2524497053578052,0.07288761680280119,-0.20052556873192004,0.09929979704661981,-0.029605176543569794,-0.12010983878997017,-0.11021778475511484,0.0010535304155128654,0.15387385207986715,-0.2170520271168828,-0.2551092978703868,-0.11149402597726966,-0.07505689963940651,-0.21199811882842162,0.4021185565043228,-0.24099363598362764
PC16,-0.02272574336908393,0.01559041495174308,-0.06215013353054467,0.01347461067901293,0.013943716892493777,-0.11630198387290447,0.06093014481063728,-0.3088666240337517,-0.15086991546701475,-0.08077726601343732,0.010600544692337238,0.2663854096098586,-0.21293592801040992,0.031135581648317975,0.17563539326753608,-0.024639741812564796,-0.30717296099477953,-0.1101780454513502,-0.09891906632620279,0.05974605233568038,0.04328685515265551,0.23671753619867147,-0.1234974444405471,0.10974599322814968,0.08364719012055327,-0.07902316250044679,0.10352513494281387,0.07825090422962556,-0.002671916337392612,-0.04744315259603803,0.09085935156813808,0.15046359472919138,0.3234581888558315,0.11286769122025517,0.028942230461266212,0.10694243168854554,-0.03572006156931511,0.23111233805090037,0.4628799288853749,-0.1932986893640547
PC17,0.07568939625201333,0.10771076950714556,0.0025104659883248715,-0.03108022101242889,-0.020676014250990735,-0.008781538410186413,-0.03194339811065484,-0.017457316544870684,-0.018983233439006434,0.03764649921842733,-0.03693430712057815,0.0564901334771937,-0.4401886008509473,0.024169533155487425,0.2379443534452773,-0.005188158854248376,0.017905334759409707,-0.024626142635555234,0.08092375649741339,-0.01492442811151116,0.027834129909001585,-0.09545215222598147,0.07824263804721256,0.08281523921064922,0.00344015418758702,0.05534411413814074,0.028337539071411996,0.22798723496344617,0.05438154905197087,0.11266887691681732,0.05457772474533382,0.19890843342753045,0.14787998938038374,0.0655451456305495,-0.1087674253063749,-0.0613118203767238,-0.40078677149639447,-0.014951406022664152,-0.24850916977585963,0.5599642313442824
PC18,0.02038451978095757,-0.003760205001135891,0.044422964030657486,0.0089627318678693,0.02512606029998963,0.08666977846937007,0.1298354097397618,-0.009396756868839378,0.015799757500578784,-0.14082023002506452,0.0955139616776192,-0.13477194832574205,-0.32912543880178263,-0.07892782108863042,-0.19682334721619604,0.0038159520656480387,-0.05591610343400163,-0.12528755387519058,0.03967580376679937,0.052399890429889906,0.07963836373192594,0.3789248794074033,0.05266987005313421,-0.21444566719131758,0.23756315300062833,0.06380085505466862,-0.07319242814643202,0.1512605283558346,0.013911271444322883,-0.3043567667567947,-0.31883504339630153,-0.26073238099133556,-0.26011589476022595,-0.18371873265480076,0.20686355147380373,0.06199011951855916,-0.10020038609830435,0.08761814730616709,0.07878631402342276,0.16353530637579924
PC19,0.010888774085647548,-0.029278514179337554,0.016708802572154128,0.115729399888281,0.03967326581615488,-0.15181277596697038,-0.11474146021267981,0.07113497377754266,-0.1812238140434616,0.041716024719643446,-0.036453236037784685,0.01477675120094581,-0.20548105849304282,0.04219808870433069,-0.33072179977967575,0.0077662785448486425,0.053555226866270074,-0.29061386801971134,0.11475940193481568,0.04412539491493012,0.19382273116790052,-0.23035410861276753,-0.1604363124019713,-0.00209005357615571,-0.3251965170226875,-0.21979419454469248,0.08869426910621588,0.0956530630935518,0.0021926598672481223,0.09748843685566624,0.34781215775872026,-0.31646128419274494,-0.21805861365500054,0.10788420387183488,0.06467477199732853,0.10108549010017522,-0.008763783942044369,-0.012781805413603508,0.21550009379762336,0.11018518639608256
PC20,-0.011125607818551325,-0.02533125573373008,0.023831269921661416,0.042442358573460105,0.015858909978591587,-0.04048568415270368,-0.024942408064337958,0.02297039109947037,-0.0739544928329114,0.00257108550179689,-0.004173850998999704,-0.0006006118227740231,-0.2344662486376956,-0.003299017139135839,-0.12008191674987619,-0.015574502177117021,0.013076644899235226,0.6249987248550968,-0.3589694572976974,0.02956288003497722,-0.5540143683087839,-0.04996671894621782,-0.045745924014073,-0.023035476852052726,-0.07838550203635869,-0.061630655415530776,0.023428001749165782,0.08697278627337225,0.012206650678111459,-0.004147955872917225,0.0847944076744604,-0.1370070359248196,-0.095416026363632,0.010789948663920107,0.03065938789075764,0.03780834912893462,-0.038814729057014614,0.009519850742696994,0.1561131597680375,0.06605093502479979
PC21,-0.00789160782517059,-0.05313796121242231,0.047566307122460405,0.0003410479065555817,0.055732392233075544,0.1656392943630552,-0.0008712386853538832,-0.25956190741213253,0.1535723366427385,0.2366018188955655,0.04162457632234042,-0.1074356496926623,-0.06437146378080924,0.12071667965171841,-0.2860951598984967,0.05220417207245175,-0.1947315146827714,-0.015535389085776,-0.03869655331885505,-0.25230315350344884,0.006139500722017108,0.0031248372121535305,0.10474235451936334,0.43311979455336724,-0.33325736926659566,-0.13013408591916217,-0.11008840041652933,0.013319255341516222,0.005729416400737707,-0.16224697970816732,-0.2701878864361597,-0.08922812996709024,0.2857468253495319,-0.08085890914584251,0.022415728596260072,-0.006839269257836042,0.007173581413342515,-0.24576112829260546,0.0031892714020377733,0.0454498002073236
